uid,contractUid,number,dateSigned,type,title,amountValue,description,url
2019-050-13/і/200,050-13/і/200,1,2019-12-09,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 050-13/і/200,null,"Додатковою угодою затверджено графік реалізації інвестиційного проєкту, продовжено строк розробки ПД та встановлено доплату у зв'язку із збільшенням ТЕП",null
2019-050-13/і/200,050-13/і/200,2,2020-05-20,Додаткова угода,Додаткова угода № 2 до Інвестиційного договору № 050-13/і/200,null,Додатковою угодою замінено деяке місце розташування локації та продовжено строк її створення,null
2019-050-13/і/200,050-13/і/200,3,2021-05-14,Додаткова угода,Додаткова угода № 3 до Інвестиційного договору № 050-13/і/200,null,Додатковою угодою замінено деяке місце розташування локації та продовжено строк її створення,null
2019-050-13/і/200,050-13/і/200,4,2023-07-13,Додаткова угода,Додаткова угода № 4 до Інвестиційного договору № 050-13/і/200,null,Додатковою угодою визначено незастосування пені за несвоєчасне подання або неподання звіту до припинення або скасування воєнного стану,null
2019-050-13/і/205,050-13/і/205,1,2020-05-12,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 050-13/і/205,null,Додатковою угодою затверджено графік реалізації інвестиційного проєкту,null
2019-050-13/і/205,050-13/і/205,2,2023-09-07,Додаткова угода,Додаткова угода № 2 до Інвестиційного договору № 050-13/і/205,null,Додатковою угодою визначено незастосування пені за несвоєчасне подання або неподання звіту до припинення або скасування воєнного стану,null
2019-050-13/і/205,050-13/і/205,3,2026-02-04,Додаткова угода,Додаткова угода № 3 до Інвестиційного договору № 050-13/і/205,null,Додатковою угодою внесено зміни до деяких пунктів інвестиційного договору,https://kyivcity.gov.ua/biznes_ta_litsenzuvannia/investoru/diyalnist_investitsiyno_komisi/teksti_investitsiynikh_dogovoriv_ta_dodatkovikh_ugod/dodatkovi_ugodi_lyutiy_2026/dodatkova_ugoda_vid_04022026__3_do_investitsiynogo_dogovoru_vid_27062019_050-13_i_205/
2019-050-13/і/205,050-13/і/205,4,2026-04-17,Додаткова угода,Додаткова угода № 4 до Інвестиційного договору № 050-13/і/205,null,Додатковою угодою внесено зміни до реквізитів замовника за інвестиційним договором,https://kyivcity.gov.ua/biznes_ta_litsenzuvannia/investoru/diyalnist_investitsiyno_komisi/teksti_investitsiynikh_dogovoriv_ta_dodatkovikh_ugod/dodatkovi_ugodi_kviten_2026/dodatkova_ugoda_vid_17042026__4_do_investitsiynogo_dogovoru_vid_27062019__050-13_i_205/
2019-050-13/і/206,050-13/і/206,1,2020-03-05,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 050-13/і/206,null,Додатковою угодою внесено зміни до Додатку 1 до інвестиційного договору,null
2019-050-13/і/206,050-13/і/206,2,2020-05-12,Додаткова угода,Додаткова угода № 2 до Інвестиційного договору № 050-13/і/206,null,Додатковою угодою замінено форму надання інформації (звіту) щодо стану реалізації інвестиційного проєкту,null
2019-050-13/і/206,050-13/і/206,3,2022-08-08,Додаткова угода,Додаткова угода № 3 до Інвестиційного договору № 050-13/і/206,null,Додатковою угодою внесено зміни до Додатку 1 до інвестиційного договору,null
2019-050-13/і/206,050-13/і/206,1,2023-02-27,Договір,Договір № 1 про прийняття прав та обов'язків відповідно до Інвестиційного договору № 050-13/і/206,null,Договором про прийняття прав та обов'язків набувач набув права та обов'язки інвестора,null
2019-050-13/і/206,050-13/і/206,4,2023-02-27,Додаткова угода,Додаткова угода № 4 до Інвестиційного договору № 050-13/і/206,null,Додатковою угодою замінено слова «Інвестор» на «Інвестор-Набувач»,null
2019-050-13/і/206,050-13/і/206,5,2023-02-27,Додаткова угода,Додаткова угода № 5 до Інвестиційного договору № 050-13/і/206,null,Додатковою угодою внесено зміни до Додатку 1 до інвестиційного договору,null
2019-050-13/і/206,050-13/і/206,6,2023-06-09,Додаткова угода,Додаткова угода № 6 до Інвестиційного договору № 050-13/і/206,null,Додатковою угодою визначено незастосування пені за несвоєчасне подання або неподання звіту до припинення або скасування воєнного стану та внесено зміни до Додатку 1 до інвестиційного договору,null
