facility_id,osm_ref,category,subtype,name,operator,ownership,addr_street,addr_housenumber,grid_id,power_source_id,power_source_name,power_zone_id,power_connection_type,backup_power,backup_power_capacity_kw,dependency_confidence,dependency_notes,source
osm_node_3883023948,node/3883023948,education,kindergarten,Helen Doron English Школа англійської мови,,,,,kyiv_grid_01_04,,,,,,,,,OpenStreetMap Overpass API
osm_node_13181272370,node/13181272370,education,kindergarten,Hello Kids,,,вулиця Боголюбова,41,kyiv_grid_02_03,,,,,,,,,OpenStreetMap Overpass API
osm_way_1368700655,way/1368700655,education,kindergarten,Hello Kids,,,Вулиця Тепла 1,1,kyiv_grid_02_00,,,,,,,,,OpenStreetMap Overpass API
osm_node_10900845838,node/10900845838,education,kindergarten,Inventor | STEM-school,,,Дніпровська набережна,18-А,kyiv_grid_07_03,,,,,,,,,OpenStreetMap Overpass API
osm_node_12310123724,node/12310123724,education,kindergarten,Kids galaxy,,,,,kyiv_grid_07_04,,,,,,,,,OpenStreetMap Overpass API
osm_node_4210143200,node/4210143200,education,kindergarten,KinderLand Студія Розвитку,Катерина,,,,kyiv_grid_07_03,,,,,,,,,OpenStreetMap Overpass API
osm_way_884004080,way/884004080,education,kindergarten,Little Fox,,,,,kyiv_grid_02_02,,,,,,,,,OpenStreetMap Overpass API
osm_node_9004482666,node/9004482666,education,kindergarten,MagicLan,,,,,kyiv_grid_04_04,,,,,,,,,OpenStreetMap Overpass API
osm_node_4906443251,node/4906443251,education,kindergarten,MazeЛаб,,,,,kyiv_grid_02_04,,,,,,,,,OpenStreetMap Overpass API
osm_way_117324158,way/117324158,education,kindergarten,Mini Midgard,,,,,kyiv_grid_04_03,,,,,,,,,OpenStreetMap Overpass API
osm_node_11357657710,node/11357657710,education,kindergarten,Mr. Leader,,,,,kyiv_grid_05_03,,,,,,,,,OpenStreetMap Overpass API
osm_node_3877345587,node/3877345587,education,kindergarten,Newton Kids,,,вулиця Антоновича,103,kyiv_grid_05_04,,,,,,,,,OpenStreetMap Overpass API
osm_node_8022935697,node/8022935697,education,kindergarten,Open Hub,,,,,kyiv_grid_00_04,,,,,,,,,OpenStreetMap Overpass API
osm_node_6829799731,node/6829799731,education,kindergarten,Play Room,,,,,kyiv_grid_05_04,,,,,,,,,OpenStreetMap Overpass API
osm_node_11309809457,node/11309809457,education,kindergarten,Rikiki,,,,,kyiv_grid_03_04,,,,,,,,,OpenStreetMap Overpass API
osm_node_492084684,node/492084684,education,kindergarten,Sprout,,,,,kyiv_grid_05_05,,,,,,,,,OpenStreetMap Overpass API
osm_node_2363393044,node/2363393044,education,kindergarten,TEREMOK-UNION,,,,,kyiv_grid_05_03,,,,,,,,,OpenStreetMap Overpass API
osm_way_420755987,way/420755987,education,kindergarten,Ukrainian global school,,,,,kyiv_grid_04_04,,,,,,,,,OpenStreetMap Overpass API
osm_node_11222975669,node/11222975669,education,kindergarten,Umami,,,,,kyiv_grid_05_04,,,,,,,,,OpenStreetMap Overpass API
osm_node_8912374638,node/8912374638,education,kindergarten,Urban Kids,,,,,kyiv_grid_05_04,,,,,,,,,OpenStreetMap Overpass API
osm_node_5681390875,node/5681390875,education,kindergarten,Ай Діти,,,вулиця Єлизавети Чавдар,1,kyiv_grid_07_03,,,,,,,,,OpenStreetMap Overpass API
osm_node_5681413221,node/5681413221,education,kindergarten,АйДіти дитячий садок,,,,,kyiv_grid_07_03,,,,,,,,,OpenStreetMap Overpass API
osm_way_589198959,way/589198959,education,kindergarten,Академія LeapKids,,,вулиця Андрія Верхогляда,11-Е,kyiv_grid_06_03,,,,,,,,,OpenStreetMap Overpass API
osm_way_1360117617,way/1360117617,education,kindergarten,"Англомовний дитячий садок ""Країна Дитинства""",,,,,kyiv_grid_06_04,,,,,,,,,OpenStreetMap Overpass API
osm_way_911551591,way/911551591,education,kindergarten,Англомовний приватний дитячий садок Smart,,,,,kyiv_grid_08_04,,,,,,,,,OpenStreetMap Overpass API
osm_way_153538942,way/153538942,education,kindergarten,Бджілка,,,,,kyiv_grid_05_03,,,,,,,,,OpenStreetMap Overpass API
osm_way_260274298,way/260274298,education,kindergarten,Боярська школа-дитячий садок,,,,,kyiv_grid_02_01,,,,,,,,,OpenStreetMap Overpass API
